"round","newround.time","choice.time","buttonpress.time","conf.time","reveal.time","choice.location","choice.class","outcome","win.prob","exputil","exputil.gamble","pot.payoff","payoff","rpe","fictive"
94,383.928000174,384.693999968,385.885000191,385.905000172,386.430000029,"Left","Gamble","Loss",0.7,17.5,17.5,25,0,-17.5,-10
95,387.451000175,388.218000135,389.029000006,389.050000153,389.57500001,"Left","Gamble","Loss",0.7,21,21,30,0,-21,-10
96,390.59499999,391.361000023,392.209000072,392.229999981,392.755000076,"Left","Gamble","Loss",0.7,21,21,30,0,-21,-10
97,393.775999985,394.540000162,395.270000181,395.29100009,395.815000019,"Right","Gamble","Win",0.6,15,15,25,25,10,15
98,396.835,397.600000105,398.410999975,398.432000122,398.956000051,"Left","Gamble","Loss",0.6,18,18,30,0,-18,-10
99,399.979000053,400.746000013,401.640999994,401.660999975,402.185000143,"Left","Safebet","WouldHaveWon",0.4,10,6,15,10,0,-5
100,403.205000124,403.971000156,404.904000006,404.92600008,405.45000001,"Right","Gamble","Loss",0.3,9,9,30,0,-9,-10
101,406.471000156,407.237000189,408.180999956,408.202000103,408.72699996,"Right","Safebet","WouldHaveLost",0,10,0,20,10,0,10
102,409.748000107,410.515000067,411.397000036,411.417000017,411.94300004,"Right","Safebet","WouldHaveWon",0.4,10,10,25,10,0,-15
103,412.964000187,413.729999981,414.441000185,414.462000093,414.987000189,"Right","Safebet","WouldHaveLost",0.4,10,6,15,10,0,10
104,416.00700017,416.772000036,417.741000137,417.761000118,418.285999975,"Right","Gamble","Loss",0.6,15,15,25,0,-15,-10
105,419.30800005,420.073000154,420.992000065,421.012000046,421.537000141,"Right","Gamble","Win",1,20,20,20,20,0,10
106,422.555999956,423.323000154,424.173000059,424.195000133,424.71999999,"Right","Gamble","Win",0.6,12,12,20,20,8,10
107,425.741000137,426.506000004,427.328999958,427.350000105,427.876000128,"Left","Safebet","WouldHaveLost",0.2,10,5,25,10,0,10
108,428.895000181,429.662000141,430.55800005,430.578000031,431.103000126,"Left","Gamble","Win",0.8,24,24,30,30,6,20
109,432.124000034,432.890000067,433.831999979,433.85199996,434.377999983,"Left","Safebet","WouldHaveWon",0.3,10,4.5,15,10,0,-5
110,435.39900013,436.16600009,437.091000042,437.111000023,437.635000191,"Left","Gamble","Win",0.8,16,16,20,20,4,10
111,438.655000172,439.422000132,440.297000132,440.31800004,440.843000135,"Right","Gamble","Win",0.7,10.5,10.5,15,15,4.5,5
